# Time             	SLA (m)   	SLA rms (m)	SLA fit (m)
1992-01-05T00:00:00	 -0.041622	  0.001974	 -0.020093
1992-01-15T00:00:00	 -0.037334	  0.001974	 -0.020031
1992-01-25T00:00:00	 -0.028838	  0.001974	 -0.019970
1992-02-04T00:00:00	 -0.019582	  0.001974	 -0.019908
1992-02-14T00:00:00	 -0.027261	  0.001974	 -0.019846
1992-02-24T00:00:00	 -0.029259	  0.001974	 -0.019785
1992-03-05T00:00:00	 -0.022730	  0.001974	 -0.019723
1992-03-15T00:00:00	 -0.024169	  0.001974	 -0.019661
1992-03-25T00:00:00	 -0.029367	  0.001974	 -0.019599
1992-04-04T00:00:00	NaN	NaN	 -0.019538
1992-04-14T00:00:00	NaN	NaN	 -0.019476
1992-04-24T00:00:00	NaN	NaN	 -0.019414
1992-05-04T00:00:00	NaN	NaN	 -0.019352
1992-05-14T00:00:00	NaN	NaN	 -0.019290
1992-05-24T00:00:00	NaN	NaN	 -0.019228
1992-06-03T00:00:00	NaN	NaN	 -0.019165
1992-06-13T00:00:00	NaN	NaN	 -0.019103
1992-06-23T00:00:00	NaN	NaN	 -0.019041
1992-07-03T00:00:00	NaN	NaN	 -0.018979
1992-07-13T00:00:00	 -0.021351	  0.001974	 -0.018916
1992-07-23T00:00:00	 -0.013017	  0.001974	 -0.018854
1992-08-02T00:00:00	 -0.013419	  0.001974	 -0.018791
1992-08-12T00:00:00	 -0.012721	  0.001974	 -0.018729
1992-08-22T00:00:00	 -0.014769	  0.001974	 -0.018666
1992-09-01T00:00:00	 -0.019281	  0.001974	 -0.018604
1992-09-11T00:00:00	 -0.024169	  0.001974	 -0.018541
1992-09-21T00:00:00	 -0.023378	  0.001974	 -0.018478
1992-10-01T00:00:00	 -0.021355	  0.001974	 -0.018415
1992-10-11T00:00:00	 -0.022212	  0.001974	 -0.018352
1992-10-21T00:00:00	 -0.016946	  0.001974	 -0.018290
1992-10-31T00:00:00	 -0.016008	  0.001974	 -0.018227
1992-11-10T00:00:00	 -0.018709	  0.001974	 -0.018164
1992-11-20T00:00:00	 -0.021416	  0.001974	 -0.018101
1992-11-30T00:00:00	 -0.018580	  0.001974	 -0.018038
1992-12-10T00:00:00	 -0.022867	  0.001274	 -0.017974
1992-12-20T00:00:00	 -0.020256	  0.001552	 -0.017911
1992-12-30T00:00:00	 -0.024478	  0.000530	 -0.017848
1993-01-09T00:00:00	 -0.028578	  0.003927	 -0.017785
1993-01-19T00:00:00	 -0.028156	  0.003797	 -0.017721
1993-01-29T00:00:00	 -0.022016	  0.001825	 -0.017658
1993-02-08T00:00:00	 -0.024082	  0.001166	 -0.017595
1993-02-18T00:00:00	 -0.024742	  0.002781	 -0.017531
1993-02-28T00:00:00	 -0.023516	  0.002132	 -0.017468
1993-03-10T00:00:00	 -0.024863	  0.003696	 -0.017404
1993-03-20T00:00:00	 -0.023098	  0.002283	 -0.017340
1993-03-30T00:00:00	 -0.023423	  0.002360	 -0.017277
1993-04-09T00:00:00	 -0.023742	  0.002982	 -0.017213
1993-04-19T00:00:00	 -0.022684	  0.003254	 -0.017149
1993-04-29T00:00:00	 -0.021157	  0.002426	 -0.017085
1993-05-09T00:00:00	 -0.022428	  0.001714	 -0.017021
1993-05-19T00:00:00	 -0.022272	  0.000498	 -0.016957
1993-05-29T00:00:00	 -0.022993	  0.001279	 -0.016893
1993-06-08T00:00:00	 -0.021317	  0.000421	 -0.016829
1993-06-18T00:00:00	 -0.017615	  0.001526	 -0.016765
1993-06-28T00:00:00	 -0.015729	  0.002620	 -0.016701
1993-07-08T00:00:00	 -0.016838	  0.002004	 -0.016637
1993-07-18T00:00:00	 -0.017872	  0.001284	 -0.016573
1993-07-28T00:00:00	 -0.019200	  0.001984	 -0.016508
1993-08-07T00:00:00	 -0.020615	  0.001050	 -0.016444
1993-08-17T00:00:00	 -0.019222	  0.001457	 -0.016379
1993-08-27T00:00:00	 -0.018542	  0.000942	 -0.016315
1993-09-06T00:00:00	 -0.020814	  0.000315	 -0.016250
1993-09-16T00:00:00	 -0.019828	  0.002719	 -0.016186
1993-09-26T00:00:00	 -0.020556	  0.001313	 -0.016121
1993-10-06T00:00:00	 -0.018735	  0.000604	 -0.016057
1993-10-16T00:00:00	 -0.018385	  0.000607	 -0.015992
1993-10-26T00:00:00	 -0.018669	  0.000078	 -0.015927
1993-11-05T00:00:00	 -0.020023	  0.001318	 -0.015862
1993-11-15T00:00:00	 -0.021332	  0.000547	 -0.015797
1993-11-25T00:00:00	 -0.021772	  0.000071	 -0.015733
1993-12-05T00:00:00	 -0.019762	  0.000663	 -0.015668
1993-12-15T00:00:00	 -0.015882	  0.000955	 -0.015603
1993-12-25T00:00:00	 -0.012575	  0.002057	 -0.015538
1994-01-04T00:00:00	 -0.016721	  0.001355	 -0.015472
1994-01-14T00:00:00	 -0.017499	  0.000435	 -0.015407
1994-01-24T00:00:00	 -0.016037	  0.001219	 -0.015342
1994-02-03T00:00:00	 -0.017123	  0.001898	 -0.015277
1994-02-13T00:00:00	 -0.019928	  0.001898	 -0.015211
1994-02-23T00:00:00	 -0.020299	  0.001606	 -0.015146
1994-03-05T00:00:00	 -0.018241	  0.002922	 -0.015081
1994-03-15T00:00:00	 -0.018669	  0.004062	 -0.015015
1994-03-25T00:00:00	 -0.018177	  0.006299	 -0.014950
1994-04-04T00:00:00	 -0.016372	  0.003704	 -0.014884
