# Time                    	SLA (m)
1992-01-12T11:04:31.85116	 -0.041129
1992-01-21T14:29:20.49078	 -0.028962
1992-02-03T02:15:27.73035	NaN
1992-02-08T12:16:37.29584	 -0.019523
1992-02-17T05:49:02.65831	 -0.032438
1992-02-26T10:30:56.32393	 -0.027892
1992-03-06T08:45:18.88619	 -0.021245
1992-03-15T09:03:01.12263	 -0.023463
1992-03-22T22:58:14.63943	 -0.029545
1992-07-10T09:35:01.85077	NaN
1992-07-14T21:58:47.55053	 -0.021352
1992-07-26T05:08:21.82910	 -0.010659
1992-08-01T17:52:33.44652	 -0.014496
1992-08-10T12:35:58.83802	 -0.012043
1992-08-19T06:45:14.14811	 -0.015015
1992-08-28T02:20:07.20285	 -0.014383
1992-09-06T08:55:45.45323	 -0.025739
1992-09-14T14:07:54.98816	 -0.022808
1992-09-23T09:56:28.82877	 -0.023575
1992-10-03T04:57:16.89239	 -0.020596
1992-10-10T19:50:49.85214	 -0.023256
1992-10-19T13:26:13.38468	 -0.017107
1992-10-28T06:05:46.47197	 -0.016368
1992-11-06T03:03:54.19541	 -0.015231
1992-11-15T00:17:58.83769	 -0.022902
1992-11-23T13:29:15.02722	 -0.020229
1992-11-30T22:26:01.70199	 -0.018023
1992-12-12T18:15:02.53753	 -0.024792
1992-12-19T23:51:00.05870	 -0.016495
1992-12-28T11:44:08.13214	 -0.022513
1993-01-06T07:21:15.96319	 -0.032671
1993-01-13T03:29:57.40560	 -0.032246
1993-01-27T01:55:23.45369	NaN
1993-02-01T12:30:01.28692	 -0.020102
1993-02-10T07:03:54.57605	 -0.027612
1993-02-19T00:49:08.16160	 -0.027567
1993-02-27T18:49:03.70596	 -0.024544
1993-03-07T20:03:52.02578	 -0.029786
1993-03-17T07:01:44.25227	 -0.025025
1993-03-26T01:53:29.97884	 -0.026050
1993-04-03T20:00:22.98303	 -0.025441
1993-04-11T21:26:06.49082	 -0.027551
1993-04-21T07:12:24.12481	 -0.025297
1993-04-30T01:14:27.78012	 -0.023120
1993-05-09T00:52:43.20496	 -0.024530
1993-05-17T12:40:48.57756	 -0.022046
1993-05-26T06:42:35.40620	 -0.024881
1993-06-04T02:09:48.32047	 -0.023066
1993-06-12T20:00:37.06995	 -0.020146
1993-06-21T12:50:14.22047	 -0.013061
1993-06-30T09:03:52.70173	 -0.013146
1993-07-09T03:58:40.24295	 -0.015244
1993-07-17T18:17:12.57885	 -0.016776
1993-07-26T11:58:16.77658	 -0.016460
1993-08-04T07:09:40.49288	 -0.019700
1993-08-13T02:26:13.70486	 -0.019384
1993-08-22T14:36:06.55225	 -0.015539
1993-08-30T12:42:57.01537	 -0.019358
1993-09-08T08:05:55.07795	 -0.021880
1993-09-17T07:42:50.96690	 -0.015703
1993-09-25T18:45:04.12667	 -0.019622
1993-10-04T17:12:17.42671	 -0.019664
1993-10-13T07:31:51.17037	 -0.018338
1993-10-22T00:41:57.70896	 -0.020141
1993-10-30T17:06:53.23431	 -0.016752
1993-11-08T11:51:43.80951	 -0.020069
1993-11-17T08:15:15.42410	 -0.021100
1993-11-26T02:55:56.35621	 -0.022079
1993-12-04T18:08:24.92063	 -0.020853
1993-12-13T02:49:05.69624	 -0.016983
1993-12-19T04:49:22.11354	NaN
1993-12-29T09:39:23.33489	 -0.010162
1994-01-07T07:28:53.94963	 -0.018821
1994-01-16T09:54:22.05306	 -0.017583
1994-01-21T17:52:38.24522	NaN
1994-02-23T14:25:33.01639	 -0.022341
1994-03-02T09:35:14.42252	 -0.020508
1994-03-11T10:00:44.16068	 -0.022301
1994-03-20T10:46:19.82369	 -0.023334
1994-03-29T09:21:57.74318	 -0.025557
1994-04-06T17:38:40.19880	 -0.016718
1994-04-14T17:57:01.34010	 -0.011303
1994-04-23T08:46:44.78169	 -0.014111
1994-05-01T19:42:11.22442	 -0.012913
1994-05-10T09:46:33.99862	 -0.015610
1994-05-19T08:40:39.20943	 -0.015103
1994-05-28T06:06:51.06649	 -0.020022
1994-06-06T04:55:16.48546	 -0.016797
1994-06-14T21:40:27.55176	 -0.013883
1994-06-23T19:39:59.69655	 -0.017704
1994-07-02T16:41:47.68351	 -0.016711
1994-07-11T12:17:39.01600	 -0.015739
1994-07-20T09:47:47.57723	 -0.012311
1994-07-29T18:36:51.63982	 -0.009559
1994-08-07T01:51:21.46168	 -0.008825
1994-08-15T22:26:05.49944	 -0.009450
1994-08-24T21:18:57.06779	 -0.008993
1994-09-02T15:59:42.35552	 -0.008093
1994-09-11T04:33:10.30757	 -0.014893
1994-09-20T06:58:14.48627	 -0.014111
1994-09-25T09:04:17.01660	NaN
1994-10-01T08:35:08.45496	NaN
1994-10-06T08:14:29.59940	 -0.009734
1994-10-15T04:11:07.00057	 -0.012289
1994-10-24T00:53:33.49676	 -0.012759
1994-11-01T21:09:42.20075	 -0.009429
1994-11-10T11:57:38.04394	 -0.011310
1994-11-19T13:29:01.06285	 -0.016295
1994-11-28T09:00:52.69827	 -0.015542
1994-12-05T06:33:01.60906	 -0.016733
1994-12-16T14:48:34.79574	NaN
1994-12-25T00:50:50.02393	 -0.010925
1995-01-02T18:09:38.82255	 -0.008955
