# Time                    	SLA (m)
1992-10-17T06:27:50.798608	NaN
1992-10-28T16:53:55.028822	NaN
1992-11-06T07:06:32.956258	NaN
1992-11-16T16:57:16.020112	NaN
1992-11-26T15:54:56.571772	NaN
1992-12-05T19:40:10.057478	NaN
1992-12-17T04:45:46.735407	 -0.020993
1992-12-26T09:01:15.094101	 -0.023346
1993-01-04T19:08:32.659855	 -0.024842
1993-01-15T03:39:26.723751	 -0.024403
1993-01-23T16:56:05.953344	 -0.024317
1993-02-04T21:48:34.416030	 -0.023217
1993-02-13T08:40:06.394167	 -0.022484
1993-02-23T19:41:32.567373	 -0.021319
1993-03-05T18:32:48.108295	 -0.021486
1993-03-15T17:02:56.733768	 -0.020734
1993-03-25T14:01:49.987557	 -0.020900
1993-04-14T10:28:52.416537	 -0.020870
1993-04-24T08:46:07.022292	 -0.017686
1993-05-04T06:15:35.689421	 -0.019860
1993-05-14T04:24:35.606868	 -0.021597
1993-05-24T02:33:36.660764	 -0.021920
1993-06-03T00:12:03.097503	 -0.021474
1993-06-12T22:36:31.944467	 -0.020310
1993-06-22T10:53:51.056849	 -0.018103
1993-07-02T18:19:59.399490	 -0.018574
1993-07-12T16:21:45.069917	 -0.019108
1993-08-01T11:39:25.303597	 -0.021343
1993-08-11T17:01:48.593744	 -0.021967
1993-08-21T08:33:42.573541	 -0.019615
1993-08-31T06:00:37.912631	 -0.019384
1993-09-10T04:26:24.453953	 -0.021300
1993-09-19T21:04:51.884943	 -0.023366
1993-09-29T23:53:56.480678	 -0.020863
1993-10-09T22:28:50.756011	 -0.016278
1993-10-19T20:00:25.941299	 -0.018676
1993-11-08T16:39:07.158150	 -0.021231
1993-11-18T14:21:55.428811	 -0.022202
1993-11-28T13:56:45.082449	 -0.021378
1993-12-08T10:20:11.337595	 -0.017832
1993-12-18T08:01:26.650816	 -0.013420
1993-12-28T03:51:51.341097	 -0.015226
1994-01-07T03:46:30.900737	 -0.019399
1994-01-17T01:48:11.471822	 -0.016017
1994-01-26T22:51:57.820929	 -0.014315
1994-02-05T21:33:23.313745	 -0.018309
1994-02-15T20:06:41.267278	 -0.020598
1994-02-25T17:50:25.607370	 -0.017956
1994-03-07T14:57:26.993279	 -0.014338
1994-03-27T11:28:48.170204	 -0.011959
1994-04-06T09:28:37.051868	 -0.012876
1994-04-16T07:41:59.343366	 -0.013698
1994-04-26T06:10:35.480258	 -0.014691
1994-05-06T03:22:27.850891	 -0.015942
1994-05-16T01:26:29.065795	 -0.017358
1994-05-25T23:53:14.641610	 -0.018267
1994-06-04T21:26:44.664282	 -0.016814
1994-06-14T19:16:09.372182	 -0.014854
1994-07-04T15:23:59.941504	 -0.019552
1994-07-14T13:05:47.376489	 -0.016614
1994-07-24T11:19:38.588978	 -0.017165
1994-08-03T09:18:15.779761	 -0.016114
1994-08-13T07:09:46.907453	 -0.016649
1994-08-23T05:05:05.986408	 -0.017034
1994-09-02T03:24:59.002554	 -0.016418
1994-09-12T00:46:55.743667	 -0.015030
1994-09-21T23:08:12.163717	 -0.015503
1994-10-01T20:17:17.069681	 -0.015258
1994-10-11T18:10:49.531204	 -0.015241
1994-10-21T17:20:06.674577	 -0.014602
1994-10-31T14:58:26.719392	 -0.014513
1994-11-20T11:11:08.835252	 -0.016313
1994-11-30T08:59:53.266838	 -0.017968
1994-12-10T07:13:04.827875	 -0.012302
1994-12-20T05:35:08.146475	 -0.009784
1994-12-30T03:17:06.629027	 -0.010893
1995-01-09T01:14:24.277990	 -0.010692
1995-01-18T22:39:56.466108	 -0.011238
1995-01-28T20:47:48.266394	 -0.006966
1995-02-07T18:57:19.397999	 -0.011394
1995-02-17T16:58:12.340861	 -0.014613
1995-02-27T14:27:24.624790	 -0.010194
1995-03-19T11:07:38.533023	 -0.005955
1995-03-29T09:19:55.300481	 -0.011317
1995-04-08T06:37:07.948971	 -0.010321
1995-04-18T04:53:26.754144	 -0.009123
1995-04-28T02:28:46.731237	 -0.009993
1995-05-17T22:29:01.870944	 -0.011117
1995-05-27T21:31:48.739318	 -0.010211
1995-06-06T19:11:36.327584	 -0.008852
1995-06-16T16:55:21.693448	 -0.009698
1995-06-26T13:58:50.645640	 -0.012707
1995-07-16T10:18:05.995610	 -0.015226
1995-07-26T08:25:19.907475	 -0.013509
1995-08-05T06:35:26.942734	 -0.013590
1995-08-15T04:45:42.603312	 -0.011353
1995-08-25T02:18:25.896547	 -0.011858
1995-09-03T23:04:07.198914	 -0.011847
1995-09-13T22:16:29.139482	 -0.008163
1995-09-23T20:44:43.648302	 -0.003622
1995-10-03T18:34:56.314505	 -0.008854
1995-10-13T16:17:45.590154	 -0.010801
1995-11-02T12:43:04.510355	 -0.010091
1995-11-12T10:55:47.283646	 -0.010314
