# Time                    	SLA (m)
2000-01-11T23:04:35.16083	  0.003047
2000-01-20T08:56:56.22618	 -0.002411
2000-01-29T10:00:04.42384	  0.001315
2000-02-06T13:25:41.18040	 -0.004834
2000-02-14T22:02:12.62276	 -0.005715
2000-02-25T04:40:03.32492	NaN
2000-03-02T23:51:16.06219	 -0.000235
2000-03-11T21:47:27.65927	 -0.005431
2000-03-20T01:35:54.64029	  0.002567
2000-03-28T18:05:06.47704	  0.003953
2000-04-04T17:38:54.51628	 -0.005470
2000-04-15T03:40:56.48992	 -0.009514
2000-04-23T08:25:59.56244	 -0.008309
2000-05-01T23:42:10.62457	 -0.007904
2000-05-10T07:27:03.22225	 -0.006698
2000-05-18T17:43:32.18942	 -0.006002
2000-05-26T23:37:04.98232	 -0.005343
2000-06-05T17:00:26.28248	 -0.001892
2000-06-12T22:05:31.17059	 -0.002229
2000-06-21T15:52:25.90762	NaN
2000-07-01T09:52:14.64005	 -0.004618
2000-07-08T23:12:46.62284	 -0.000138
2000-07-17T10:30:51.23788	 -0.005370
2000-07-26T01:19:11.60890	 -0.004849
2000-08-03T09:51:29.33877	 -0.001465
2000-08-12T15:12:33.80624	NaN
2000-08-22T19:07:24.99623	NaN
2000-08-28T16:11:06.09913	 -0.003224
2000-09-06T09:21:19.56035	 -0.005735
2000-09-15T05:44:14.52187	 -0.007954
2000-09-23T12:09:29.09939	 -0.004177
2000-10-02T05:54:00.23528	 -0.005737
2000-10-10T23:18:43.40236	  0.001143
2000-10-19T05:07:16.18876	 -0.000595
2000-10-27T21:57:41.66474	  0.009836
2000-11-05T10:14:36.65017	  0.002356
2000-11-14T02:54:14.36045	 -0.002538
2000-11-22T12:23:35.58895	  0.002111
2000-12-01T03:46:57.95284	 -0.004001
2000-12-09T18:52:41.69096	 -0.008029
2000-12-19T17:52:27.96791	 -0.001410
2000-12-26T11:02:48.73393	  0.003233
2001-01-04T01:17:29.23868	  0.004879
2001-01-12T14:18:04.76988	 -0.000672
2001-01-21T02:20:27.56732	  0.000054
2001-01-28T17:17:53.90623	 -0.001084
2001-02-07T03:23:29.47883	 -0.001022
2001-02-16T18:50:46.79459	 -0.001435
2001-02-24T04:10:50.21123	 -0.000353
2001-03-04T21:00:04.04965	  0.005215
2001-03-13T05:31:35.09598	  0.006630
2001-03-21T18:30:05.90945	  0.002413
2001-03-30T00:33:42.13929	NaN
2001-04-08T03:45:37.22375	 -0.004957
2001-04-16T09:15:59.54977	  0.000370
2001-04-24T20:48:36.42083	  0.001385
2001-05-03T07:10:08.95928	  0.003004
2001-05-11T23:21:57.90393	  0.004229
2001-05-20T08:30:22.66041	  0.001137
2001-05-29T01:34:33.91357	  0.000621
2001-06-06T10:21:35.53698	 -0.001974
2001-06-15T01:07:23.79575	  0.001436
2001-06-23T12:43:56.49513	  0.006001
2001-07-02T02:09:58.47988	  0.004089
2001-07-10T13:54:34.72125	  0.007566
2001-07-19T03:21:15.27076	  0.004810
2001-07-27T15:13:48.81934	  0.005310
2001-08-05T04:20:32.79653	  0.007863
2001-08-13T17:31:23.03900	  0.004082
2001-08-22T05:31:00.29949	  0.001294
2001-08-30T17:22:13.29231	  0.000731
2001-09-08T06:55:31.01756	  0.008229
2001-09-16T19:34:06.11935	  0.009842
2001-09-25T07:17:37.93717	  0.007116
2001-10-03T20:16:44.29563	  0.005888
2001-10-12T02:41:43.00626	  0.000910
2001-10-20T20:39:38.35828	  0.001981
2001-10-29T10:08:55.95292	  0.003942
2001-11-06T22:48:56.40807	  0.007490
2001-11-15T11:41:37.89307	  0.009814
2001-11-23T23:01:46.22910	  0.001785
2001-12-02T14:32:22.00496	  0.006288
2001-12-11T00:47:43.61286	  0.004851
2001-12-19T14:02:33.03627	  0.003656
2001-12-28T03:22:00.50361	  0.002746
2002-01-05T14:32:49.95726	  0.007069
2002-01-14T02:26:17.73602	  0.005299
2002-01-22T16:49:28.44096	  0.006409
2002-01-31T05:55:21.80778	NaN
2002-02-08T17:56:37.80798	  0.008187
2002-02-17T07:52:11.62876	  0.011762
2002-02-25T18:00:47.39579	  0.011117
2002-03-06T07:18:53.15493	  0.006778
2002-03-14T19:23:31.10331	  0.005082
2002-03-23T09:36:45.65391	  0.007362
2002-03-31T20:52:08.48756	  0.006765
2002-04-09T09:49:57.48372	  0.010417
2002-04-17T22:18:18.60815	  0.006750
2002-04-26T11:23:10.87170	  0.007781
2002-05-04T23:54:10.28127	  0.010818
2002-05-13T11:36:15.39255	  0.006655
2002-05-22T00:46:31.29608	  0.006480
2002-05-30T13:10:49.79050	  0.008364
2002-06-08T02:22:41.16251	  0.004578
2002-06-16T23:26:49.20283	  0.009693
2002-06-25T14:13:32.87460	  0.010448
2002-07-03T14:50:03.49624	  0.011008
2002-07-12T04:25:06.96714	  0.009166
2002-07-20T16:46:21.97399	  0.015989
2002-07-29T05:35:31.35668	  0.008865
2002-08-06T18:11:08.16874	  0.008397
2002-08-15T07:16:19.96923	  0.010097
2002-08-23T18:58:19.25101	  0.011196
2002-09-01T08:30:08.48769	  0.012019
2002-09-09T20:18:24.73367	  0.008022
2002-09-18T09:09:30.60776	  0.006740
2002-09-26T21:40:53.71011	  0.008124
2002-10-05T10:46:09.62745	  0.007016
2002-10-13T22:48:46.68850	  0.010755
2002-10-22T11:47:51.36396	  0.017862
2002-10-30T21:46:30.05548	  0.011052
2002-11-08T13:11:10.69542	  0.011530
2002-11-16T21:06:07.09503	  0.010469
2002-11-25T14:02:13.36507	  0.012674
2002-12-04T02:47:52.50434	  0.015383
2002-12-12T15:36:07.01577	  0.016363
2002-12-21T04:00:29.29618	  0.013366
2002-12-29T17:24:32.87388	  0.015149
2003-01-08T00:59:09.34836	  0.016416
2003-01-15T17:55:15.60251	  0.010375
2003-01-24T06:16:23.75795	  0.015059
2003-02-01T20:00:12.86995	  0.015200
2003-02-10T07:27:12.37898	  0.014992
