# Time                    	SLA (m)
2002-05-17T07:58:32.66914	NaN
2002-05-25T14:00:45.33367	NaN
2002-06-14T06:51:43.15358	NaN
2002-06-21T16:09:06.03788	NaN
2002-07-01T17:48:19.67978	NaN
2002-07-10T20:03:55.59490	NaN
2002-07-18T10:02:14.21230	NaN
2002-07-27T06:05:34.51998	NaN
2002-08-04T02:03:38.86407	NaN
2002-08-14T00:43:28.42594	NaN
2002-08-22T11:46:30.68862	NaN
2002-08-31T05:38:42.86011	NaN
2002-09-08T13:26:46.95712	NaN
2002-09-18T04:27:40.59393	NaN
2002-09-26T12:37:07.57951	NaN
2002-10-05T06:03:21.28973	NaN
2002-10-14T10:43:30.09424	NaN
2002-10-22T22:16:30.69035	NaN
2002-10-31T17:03:00.60483	NaN
2002-11-09T07:35:36.10022	NaN
2002-11-17T11:14:13.96155	NaN
2002-11-26T18:56:37.52850	NaN
2002-12-05T13:38:03.13397	NaN
2002-12-14T03:33:10.61549	NaN
2002-12-23T03:15:20.11734	NaN
2002-12-31T18:06:50.05547	NaN
2003-01-09T14:47:29.74487	NaN
2003-01-18T12:53:20.41446	NaN
2003-01-27T02:05:07.97175	NaN
2003-02-04T18:28:27.04222	NaN
2003-02-13T18:18:43.55775	NaN
2003-02-22T04:24:22.59738	NaN
2003-03-02T23:51:53.91748	NaN
2003-03-11T06:37:10.51440	NaN
2003-03-21T18:56:04.80267	NaN
2003-03-29T05:33:46.62651	NaN
2003-04-06T17:52:58.53771	NaN
2003-04-15T15:32:01.03262	NaN
2003-04-24T12:01:20.01130	NaN
2003-05-02T23:15:18.88467	NaN
2003-05-12T00:27:40.15785	NaN
2003-05-21T03:49:50.10167	NaN
2003-05-29T02:53:16.89656	NaN
2003-06-07T06:01:26.13041	NaN
2003-06-16T02:39:47.50653	NaN
2003-06-24T18:25:53.58919	NaN
2003-07-03T11:52:00.66200	NaN
2003-07-12T05:30:23.31898	NaN
2003-07-21T01:13:10.36081	NaN
2003-07-29T17:18:45.05123	NaN
2003-08-07T12:46:52.23578	NaN
2003-08-16T05:40:53.90797	NaN
2003-08-25T00:11:21.64865	NaN
2003-09-01T22:39:43.51803	NaN
2003-09-11T21:31:27.00360	NaN
2003-09-20T06:47:22.39015	NaN
2003-09-29T03:36:48.00615	NaN
2003-10-07T18:28:42.98967	  0.014301
2003-10-16T14:05:38.32114	  0.016270
2003-10-25T00:24:01.53141	  0.014028
