# Time                    	SLA (m)
2008-07-08T06:00:53.824673	  0.028045
2008-07-17T01:53:50.767738	  0.026220
2008-07-26T22:57:16.163901	  0.024710
2008-08-05T21:41:59.187979	  0.022801
2008-08-15T18:38:46.625459	  0.025319
2008-08-25T14:10:14.174005	  0.024206
2008-09-04T14:49:33.010030	  0.024797
2008-09-14T12:06:28.326261	  0.023891
2008-09-24T10:31:58.374844	  0.024645
2008-10-04T07:57:13.874105	  0.024835
2008-10-14T06:22:15.920270	  0.025315
2008-10-24T04:18:45.179477	  0.025628
2008-11-03T02:18:37.950887	  0.023792
2008-11-13T00:31:18.005806	  0.026700
2008-11-22T22:16:33.741415	  0.025023
2008-12-02T20:26:45.741662	  0.029812
2008-12-12T18:04:31.064629	  0.026099
2008-12-22T16:45:14.337443	  0.024518
2009-01-01T14:44:47.108893	  0.025690
2009-01-11T17:51:49.062692	  0.026965
2009-01-21T10:23:54.243849	  0.026354
2009-01-31T08:03:56.962367	  0.025366
2009-02-10T05:40:25.437872	  0.023779
2009-02-20T03:58:58.423738	  0.026308
2009-03-02T01:40:01.878730	  0.027886
2009-03-11T23:46:56.070584	  0.028762
2009-03-21T21:51:05.555438	  0.028894
2009-03-31T20:05:37.360083	  0.028144
2009-04-10T17:44:06.565835	  0.026666
2009-04-20T15:53:26.504287	  0.027801
2009-04-30T13:43:27.603433	  0.027973
2009-05-10T11:25:16.656140	  0.027787
2009-05-20T09:56:44.911201	  0.027226
2009-05-30T04:44:55.524758	  0.026847
2009-06-09T05:11:17.539905	  0.028915
2009-06-19T03:28:46.267612	  0.029458
2009-06-29T01:41:00.144235	  0.027820
2009-07-08T23:39:40.221683	  0.025747
2009-07-18T21:37:35.411363	  0.026800
2009-07-28T19:59:56.680357	  0.030157
2009-08-07T17:44:08.505795	  0.027919
2009-08-17T15:44:47.648734	  0.028709
2009-08-27T13:50:53.965149	  0.029670
2009-09-06T11:33:21.374654	  0.030164
2009-09-16T09:25:35.819216	  0.032161
2009-09-26T07:56:40.539646	  0.031033
2009-10-06T05:23:06.819318	  0.030651
2009-10-16T03:21:24.213246	  0.031168
2009-10-26T01:53:48.704635	  0.031821
2009-11-04T23:30:01.489918	  0.031626
2009-11-14T21:20:33.372084	  0.028172
2009-11-24T19:38:10.093476	  0.030527
2009-12-04T17:20:32.307636	  0.030236
2009-12-14T15:06:26.980068	  0.027933
2009-12-24T13:27:56.840387	  0.032649
2010-01-03T11:26:27.944224	  0.029507
2010-01-13T09:19:57.956761	  0.029646
2010-01-23T07:07:08.998638	  0.028718
2010-02-02T05:07:36.552072	  0.025998
2010-02-12T03:24:39.837552	  0.030480
2010-02-22T01:19:49.834754	  0.032980
2010-03-03T23:13:28.404836	  0.036337
2010-03-13T20:51:01.975883	  0.029403
2010-03-23T19:14:56.905009	  0.029534
2010-04-02T17:02:22.804287	  0.028892
2010-04-12T15:26:55.064576	  0.031930
2010-04-22T12:52:21.048136	  0.032087
2010-05-02T11:12:06.964141	  0.029783
2010-05-12T08:47:37.250636	  0.029619
2010-05-22T06:33:10.276748	  0.033874
2010-06-01T04:37:05.960869	  0.033910
2010-06-11T02:50:47.728134	  0.033975
2010-06-21T00:50:48.697323	  0.034208
2010-06-30T22:30:00.792166	  0.033551
2010-07-10T20:59:03.130842	  0.032752
2010-07-20T18:28:20.724104	  0.033574
2010-07-30T16:49:21.674868	  0.032398
2010-08-09T14:12:43.822826	  0.031331
2010-08-19T12:53:10.099684	  0.031794
2010-08-29T10:51:13.725522	  0.028340
2010-09-08T08:30:55.940564	  0.029131
2010-09-18T06:36:19.757664	  0.028334
2010-09-28T04:44:04.378743	  0.027426
2010-10-08T02:51:54.585467	  0.029072
2010-10-18T00:29:40.162195	  0.031727
2010-10-27T22:49:18.595529	  0.030321
2010-11-06T20:17:15.666669	  0.029267
2010-11-16T18:42:01.896331	  0.029851
2010-11-26T17:03:03.736107	  0.025735
2010-12-06T14:33:49.087265	  0.027563
2010-12-16T12:44:17.761845	  0.026770
2010-12-26T10:48:06.838996	  0.029180
2011-01-05T08:47:38.440768	  0.027422
2011-01-15T06:08:20.217254	  0.027535
2011-01-25T03:46:03.931548	  0.029477
2011-02-04T02:32:10.582584	  0.028925
2011-02-14T00:06:04.838204	  0.027675
2011-02-23T22:25:35.115194	  0.028049
2011-03-05T20:18:10.677513	  0.027787
2011-03-15T18:11:05.236261	  0.028042
2011-03-25T15:55:10.839235	  0.025575
2011-04-04T13:36:55.491260	  0.027743
2011-04-14T11:52:45.613574	  0.028498
2011-04-24T10:27:43.558228	  0.027576
2011-05-04T07:59:05.888697	  0.024496
2011-05-14T06:06:52.122524	  0.028053
2011-05-24T03:44:00.282303	  0.029025
2011-06-03T01:45:27.207955	  0.028670
2011-06-12T23:33:34.658818	  0.029733
2011-06-22T21:55:42.285233	  0.031756
2011-07-02T19:26:39.466533	  0.029779
2011-07-12T17:50:56.619533	  0.029552
2011-07-22T15:36:51.246495	  0.029243
2011-08-01T14:09:05.561649	  0.030234
2011-08-11T11:26:55.961854	  0.032637
2011-08-21T09:17:47.017276	  0.032379
2011-08-31T07:38:49.540127	  0.032010
2011-09-10T06:13:33.012991	  0.029995
2011-09-20T03:43:41.229845	  0.030010
2011-09-30T02:10:35.042182	  0.032222
2011-10-09T23:41:06.517772	  0.034401
2011-10-19T22:15:24.331679	  0.034792
2011-10-29T19:44:30.852020	  0.030828
2011-11-08T17:33:47.065607	  0.029314
2011-11-18T15:54:48.350013	  0.030134
2011-11-28T13:46:24.604496	  0.032946
2011-12-08T11:22:14.703684	  0.033791
2011-12-18T10:04:28.623726	  0.034505
2011-12-28T07:57:08.814941	  0.035008
2012-01-07T05:40:34.108654	  0.037733
2012-01-17T03:42:10.005670	  0.037822
2012-01-27T01:37:07.391379	  0.039533
2012-02-05T23:17:23.222334	  0.037846
2012-02-15T21:03:43.084664	  0.038566
2012-02-25T19:46:14.588625	  0.036414
2012-03-06T17:17:46.612548	  0.036135
