# Time                    	SLA (m)
2010-07-18T22:39:28.56164	NaN
2010-07-26T21:54:47.42639	NaN
2010-08-05T17:59:13.50882	NaN
2010-08-11T11:38:13.69202	NaN
2010-09-07T11:03:44.65833	NaN
2010-09-12T16:12:23.35730	NaN
2010-09-22T00:03:14.41972	NaN
2010-09-28T13:51:21.18817	NaN
2010-10-22T22:32:10.71150	NaN
2010-10-29T14:58:19.66065	  0.033427
2010-11-08T05:13:27.49442	  0.030505
2010-11-17T22:30:02.55976	  0.030208
2010-11-27T18:44:39.85796	  0.029207
2010-12-07T05:18:57.68815	  0.027810
2010-12-15T21:07:19.18749	  0.025614
2010-12-24T12:18:43.59250	  0.031023
2011-01-03T05:01:07.03273	  0.027868
2011-01-12T19:03:03.75436	  0.025296
2011-01-22T00:42:56.37609	  0.028957
2011-02-01T14:17:39.09168	  0.026580
2011-02-10T17:53:13.60136	  0.023078
2011-02-20T11:06:37.86693	  0.024909
2011-03-01T23:31:42.72229	  0.028201
2011-03-10T18:00:02.19332	  0.026122
2011-03-19T09:58:54.06681	  0.025705
2011-03-29T01:25:54.36505	  0.025153
2011-04-07T15:37:33.79721	  0.023354
2011-04-17T07:32:08.15219	  0.029548
2011-04-26T09:30:17.03837	  0.026367
2011-05-08T07:45:03.13038	  0.025042
2011-05-16T06:27:02.15052	  0.028799
2011-05-25T19:51:32.77901	  0.030878
2011-06-04T13:30:53.12314	  0.030323
2011-06-14T04:10:07.36439	  0.030674
2011-06-23T18:37:15.80990	  0.031579
2011-07-02T10:49:40.27430	  0.030871
2011-07-11T03:05:50.09410	  0.031151
2011-07-20T18:04:17.41394	  0.028477
2011-07-30T08:46:00.96775	  0.028219
2011-08-09T01:39:26.09798	  0.029472
2011-08-18T16:26:00.10005	  0.029971
2011-08-28T08:01:28.20906	  0.033048
2011-09-07T00:13:03.53180	  0.031061
2011-09-16T02:57:00.36873	  0.027221
2011-09-25T16:28:16.85951	  0.030109
2011-10-03T23:26:15.78417	  0.029093
2011-10-13T09:23:38.40808	  0.034267
2011-10-23T10:55:18.46306	  0.031039
2011-11-01T21:46:03.60138	  0.028658
2011-11-11T12:34:25.63965	  0.029309
2011-11-21T04:03:28.09278	  0.028271
2011-11-30T20:02:43.58851	  0.030805
2011-12-10T10:15:46.88248	  0.030847
2011-12-19T01:47:46.85310	  0.032658
2011-12-27T18:37:20.32455	  0.033463
2012-01-06T09:59:38.36865	  0.034976
2012-01-16T00:28:11.99027	  0.035461
2012-01-25T17:00:16.52957	  0.037686
2012-02-04T07:45:32.14156	  0.034523
2012-02-14T01:17:59.44075	  0.034274
2012-02-23T15:44:34.69319	  0.037558
2012-03-04T06:23:48.82571	  0.037512
2012-03-12T20:41:28.02454	  0.037220
2012-03-21T14:15:49.33200	  0.039695
2012-03-31T06:13:34.06304	  0.040853
2012-04-09T20:53:12.23543	  0.037379
2012-04-19T13:25:13.04705	  0.041308
2012-04-29T03:27:01.47294	  0.039368
2012-05-08T18:10:30.85505	  0.039360
2012-05-18T12:30:29.97971	  0.040978
2012-05-28T02:08:38.01328	  0.038980
2012-06-06T18:29:18.30459	  0.040332
2012-06-16T10:48:41.19991	  0.042377
2012-06-25T23:45:07.97939	  0.039455
2012-07-04T16:56:49.54623	  0.037713
2012-07-13T09:01:05.91975	  0.040647
2012-07-22T23:14:09.32314	  0.041418
2012-08-01T15:04:51.26987	  0.041899
2012-08-11T07:13:29.19928	  0.043301
2012-08-20T21:25:13.77521	  0.041059
2012-08-30T13:24:35.41198	  0.041110
2012-09-09T04:13:51.12861	  0.042021
2012-09-18T20:33:10.17566	  0.043750
2012-09-27T12:33:32.28999	  0.043136
2012-10-06T04:54:18.66701	  0.044138
2012-10-15T20:00:11.30420	  0.043768
2012-10-25T11:26:26.53970	  0.041721
2012-11-04T03:31:37.96636	  0.044512
2012-11-13T18:05:51.15743	  0.041931
2012-11-23T10:13:31.19284	  0.040753
2012-12-03T02:24:58.95860	  0.044729
2012-12-12T16:13:36.85175	  0.042692
2012-12-21T07:59:13.71968	  0.040605
2012-12-29T23:43:03.29977	  0.042592
2013-01-08T15:48:10.57644	  0.042074
2013-01-18T06:19:48.73300	  0.042012
2013-01-27T22:07:05.37743	  0.044579
2013-02-06T13:44:32.41465	  0.043959
2013-02-16T05:41:02.11954	  0.041655
2013-02-25T22:02:17.79044	  0.043693
2013-03-07T16:34:58.62280	  0.043409
2013-03-16T03:24:05.79174	  0.043808
2013-03-24T19:47:22.40321	  0.044586
2013-04-03T11:34:20.94109	  0.043960
2013-04-13T02:24:49.51665	  0.043414
2013-04-22T19:11:23.43281	  0.042881
2013-05-02T09:37:20.54794	  0.046383
2013-05-12T01:09:48.41587	  0.045016
2013-05-21T18:27:41.69634	  0.045565
2013-05-31T09:35:57.25597	  0.042689
2013-06-10T00:24:19.55813	  0.041043
2013-06-19T15:19:45.23144	  0.044472
2013-06-29T06:37:15.28319	  0.044523
2013-07-07T22:07:21.19254	  0.042140
2013-07-16T14:14:55.75125	  0.042927
2013-07-26T05:55:01.31707	  0.043738
2013-08-04T20:20:54.08396	  0.041764
2013-08-14T13:07:54.52889	  0.040815
2013-08-24T03:47:25.89844	  0.037334
2013-09-02T20:17:54.72531	  0.041962
2013-09-12T11:45:07.71940	  0.041371
2013-09-22T02:13:09.08369	  0.039028
2013-09-29T18:57:39.83925	  0.039008
2013-10-13T01:20:19.82884	NaN
2013-10-19T04:19:56.18793	  0.044495
2013-10-28T15:40:11.18434	  0.043223
2013-11-07T08:49:45.04443	  0.042387
2013-11-17T00:11:28.59906	  0.042173
2013-11-26T15:46:09.81037	  0.039147
2013-12-06T07:50:06.03522	  0.039559
2013-12-15T22:17:56.85534	  0.040839
2013-12-24T13:53:09.52936	  0.042649
2014-01-02T03:51:47.66419	  0.043410
2014-01-11T21:41:39.07358	  0.040958
2014-01-21T11:52:09.94338	  0.040145
2014-01-31T05:28:51.85346	  0.044457
2014-02-09T19:23:28.39846	  0.045476
2014-02-19T11:21:10.96859	  0.046520
2014-03-01T03:04:31.95531	  0.053117
2014-03-10T18:02:16.80666	  0.050313
2014-03-19T09:05:43.55706	  0.049597
2014-03-28T01:12:17.99429	  0.050979
2014-04-06T18:08:31.79431	  0.048372
2014-04-16T07:43:25.32628	  0.047960
2014-04-26T00:59:34.19475	  0.043667
2014-05-05T15:11:12.40354	  0.042110
2014-05-15T05:46:50.00331	  0.042880
2014-05-24T22:08:54.75160	  0.043556
2014-06-03T13:53:57.89784	  0.043596
2014-06-13T05:32:52.62659	  0.045149
2014-06-22T22:10:13.49720	  0.046562
2014-07-02T12:42:59.98195	  0.045877
2014-07-11T03:55:41.77865	  0.046551
2014-07-19T20:36:44.64993	  0.044388
2014-07-29T11:13:00.72403	  0.045242
2014-08-08T02:58:45.37288	  0.046610
2014-08-17T18:39:54.30226	  0.046516
2014-08-27T09:20:36.57449	  0.047503
2014-09-05T23:43:22.65592	  0.045524
2014-09-15T17:10:12.99504	  0.048733
2014-09-25T08:30:57.24087	  0.048614
2014-10-03T23:10:15.98470	  0.047580
2014-10-12T17:09:17.81871	  0.050882
2014-10-22T06:11:39.65909	  0.049450
2014-10-31T22:11:40.19566	  0.048349
2014-11-10T14:19:33.24844	  0.046884
2014-11-20T05:25:28.02527	  0.047132
2014-11-29T19:48:28.07087	  0.045550
2014-12-09T13:00:10.34932	  0.053695
2014-12-19T04:05:38.59941	  0.054986
2014-12-27T19:27:39.17387	  0.049686
2015-01-05T10:52:56.43505	  0.045827
2015-01-15T02:20:25.10069	  0.050625
2015-01-24T18:47:03.63482	  0.050963
2015-02-03T09:36:32.56462	  0.054213
2015-02-13T01:49:41.60857	  0.053977
2015-02-22T16:34:55.83015	  0.051572
2015-03-04T08:52:48.99940	  0.050931
2015-03-13T23:12:42.70331	  0.050407
2015-03-22T15:41:39.75819	  0.052484
2015-03-31T07:23:35.39150	  0.056277
2015-04-09T22:20:37.46550	  0.051996
2015-04-19T13:32:52.80203	  0.053517
2015-04-29T06:03:39.82476	  0.054966
2015-05-08T21:35:20.36066	  0.052451
2015-05-18T12:21:08.99612	  0.051657
2015-05-28T05:38:10.89076	  0.053759
2015-06-06T19:42:36.20351	  0.055307
2015-06-16T11:33:29.33319	  0.052853
2015-06-26T03:21:55.64315	  0.054441
2015-07-05T17:51:19.10709	  0.056616
2015-07-14T09:47:38.22478	  0.055446
2015-07-22T23:37:57.08630	  0.054534
2015-08-01T16:46:28.09928	  0.056428
2015-08-11T08:01:53.93983	  0.053044
2015-08-21T00:27:09.39920	  0.051605
2015-08-30T15:35:03.59411	  0.056163
2015-09-09T06:57:12.25795	  0.058273
2015-09-18T23:07:04.51454	  0.056799
2015-09-28T13:26:59.75514	  0.057717
2015-10-07T05:49:08.01392	  0.054124
2015-10-15T21:28:05.35570	  0.057587
2015-10-25T12:31:32.96086	  0.059023
2015-11-04T04:00:33.61388	  0.056497
2015-11-13T21:39:38.63718	  0.052604
2015-11-23T10:39:47.83452	  0.058207
2015-12-03T02:08:17.08607	  0.057372
2015-12-12T19:53:54.29421	  0.057043
2015-12-22T09:41:55.11388	  0.054532
2015-12-31T01:20:04.54770	  0.052616
2016-01-08T16:59:51.88193	  0.052328
2016-01-18T09:27:00.82255	  0.058982
2016-01-27T23:38:27.01609	  0.057659
2016-02-06T15:58:08.12669	  0.060352
2016-02-16T06:45:17.13987	  0.059861
2016-02-25T22:00:37.26264	  0.058510
2016-03-06T15:15:55.04782	  0.060936
2016-03-16T05:57:55.79994	  0.060095
2016-03-24T21:32:29.94114	  0.062174
2016-04-02T07:30:20.71903	  0.060188
2016-04-12T05:06:06.66665	  0.058827
2016-04-21T19:00:24.25670	  0.055687
2016-05-01T12:32:35.46190	  0.057678
2016-05-11T02:33:43.50831	  0.056602
2016-05-20T17:29:38.75604	  0.056041
2016-05-30T09:41:49.67343	  0.059862
2016-06-09T01:07:53.70090	  0.059916
2016-06-18T17:32:39.68365	  0.060551
2016-06-28T09:34:25.01867	  0.058510
2016-07-07T23:12:57.59066	  0.058742
2016-07-16T13:15:59.74428	  0.056025
2016-07-25T07:35:09.80081	  0.055157
2016-08-03T22:57:11.91696	  0.055895
2016-08-13T14:04:32.78751	  0.053160
2016-08-23T06:04:26.99708	  0.055784
2016-09-01T20:45:11.96304	  0.058422
2016-09-11T13:11:19.90255	  0.058527
2016-09-21T04:52:30.04872	  0.060975
2016-09-30T19:25:50.20821	  0.053831
2016-10-09T11:53:35.83587	  0.052188
2016-10-18T06:25:12.04365	  0.057609
2016-10-27T18:38:40.90558	  0.057921
2016-11-06T09:55:20.61160	  0.057667
2016-11-16T02:39:17.46004	  0.058741
2016-11-25T17:13:21.90637	  0.059401
2016-12-05T08:12:32.65498	  0.057902
2016-12-15T00:26:55.34975	  0.057785
2016-12-24T15:09:29.68136	  0.058473
2017-01-02T06:23:43.45126	  0.053636
2017-01-10T23:43:07.84267	  0.058418
2017-01-20T14:37:00.12024	  0.056318
2017-01-30T05:33:51.20459	  0.053640
2017-02-08T21:24:41.10834	  0.055274
2017-02-18T12:44:40.45866	  0.055830
2017-02-28T04:15:41.41431	  0.054136
2017-03-09T20:31:28.79547	  0.056436
2017-03-19T13:10:30.95477	  0.057781
2017-03-28T02:03:29.52612	  0.054369
2017-04-05T18:54:25.02889	  0.057992
2017-04-15T10:31:17.25856	  0.059270
2017-04-25T01:45:06.93991	  0.058170
2017-05-04T18:53:13.71561	  0.058104
2017-05-14T07:40:18.60770	  0.057565
2017-05-23T23:49:00.15843	  0.052634
2017-06-02T16:43:15.77139	  0.057873
2017-06-12T07:12:06.50803	  0.058425
2017-06-21T22:48:18.79269	  0.056841
2017-07-01T13:52:23.43151	  0.060065
2017-07-11T05:23:23.30364	  0.060151
2017-07-19T21:28:29.80201	  0.058683
2017-07-28T13:10:26.68672	  0.060365
2017-08-07T04:21:51.71726	  0.060147
2017-08-16T19:43:39.67238	  0.059664
2017-08-26T12:34:05.07028	  0.060451
2017-09-05T02:15:05.98503	  0.059777
2017-09-14T18:37:00.54299	  0.057888
2017-09-24T10:45:08.70407	  0.059460
2017-10-04T00:39:00.41622	  0.057063
2017-10-12T16:42:50.85318	  0.055174
2017-10-21T08:57:57.54302	  0.061158
2017-10-31T00:29:01.47059	  0.059641
2017-11-09T13:45:47.57209	  0.057357
2017-11-19T08:27:25.12404	  0.062797
2017-11-28T23:30:41.01580	  0.061908
2017-12-08T13:52:05.02547	  0.061238
2017-12-18T10:02:58.38137	  0.062745
2017-12-27T21:00:38.24298	  0.060610
2018-01-05T12:47:58.97306	  0.060049
2018-01-14T04:52:13.07263	  0.062490
2018-01-23T20:20:30.71168	  0.063138
2018-02-02T07:37:38.41269	  0.063299
2018-02-12T03:09:25.15353	  0.062078
2018-02-21T18:23:15.21396	  0.058484
2018-03-03T10:01:55.84768	  0.060752
2018-03-13T01:34:48.45400	  0.066130
2018-03-22T16:39:38.61617	  0.059773
2018-03-31T08:14:41.30565	  0.059667
2018-04-09T00:43:06.22150	  0.059612
2018-04-18T16:28:28.92778	  0.061525
2018-04-28T07:13:52.74584	  0.057365
2018-05-07T23:29:13.55190	  0.059441
2018-05-17T14:37:11.60623	  0.058939
2018-05-27T05:42:06.95066	  0.058334
2018-06-05T21:43:19.87809	  0.060582
2018-06-15T12:07:54.52154	  0.059129
2018-06-25T07:38:45.03143	  0.057026
2018-07-04T19:13:46.16709	  0.059408
2018-07-14T10:08:58.47144	  0.059745
2018-07-23T03:08:57.17010	  0.059325
2018-07-31T18:05:34.09454	  0.060756
2018-08-10T10:16:21.18173	  0.060282
2018-08-20T01:38:03.14213	  0.059255
2018-08-29T17:36:07.27056	  0.060116
2018-09-08T08:13:47.89933	  0.063230
2018-09-17T23:55:33.40949	  0.061355
2018-09-27T15:49:06.21547	  0.063660
