# Time                    	SLA (m)
2013-03-18T16:08:19.37210	  0.048092
2013-03-27T08:58:29.17681	  0.046473
2013-04-05T02:32:36.11061	  0.048390
2013-04-13T21:11:30.29208	  0.048477
2013-04-22T14:54:59.80199	  0.045461
2013-05-01T08:44:32.23757	  0.047954
2013-05-10T02:12:00.66319	  0.048057
2013-05-18T21:01:32.76313	  0.047559
2013-05-27T14:33:16.97411	  0.045333
2013-06-05T08:47:59.64436	  0.047150
2013-06-14T02:15:32.04629	  0.045167
2013-06-22T20:52:38.40845	  0.044846
2013-07-01T14:40:26.42670	  0.044844
2013-07-10T08:50:05.45294	  0.044429
2013-07-19T02:09:16.69740	  0.044174
2013-07-27T20:05:15.54314	  0.044767
2013-08-05T14:33:46.76284	  0.043906
2013-08-14T08:47:16.83853	  0.043405
2013-08-23T02:06:45.79242	  0.041793
2013-08-31T20:49:31.19432	  0.043502
2013-09-09T14:44:06.24103	  0.041984
2013-09-18T08:55:14.08330	  0.042385
2013-09-27T02:16:10.70712	  0.041759
2013-10-05T21:02:38.77591	  0.045645
2013-10-14T14:46:51.21137	  0.043489
2013-10-23T08:56:57.34865	  0.046013
2013-11-01T02:34:25.93646	  0.045432
2013-11-09T21:10:46.81528	  0.045046
2013-11-18T14:42:02.81131	  0.043735
2013-11-27T09:03:02.12942	  0.043175
2013-12-06T02:28:14.90710	  0.041420
2013-12-14T21:00:00.84754	  0.043730
2013-12-23T14:42:19.90645	  0.043949
2014-01-01T08:40:05.76922	  0.044130
2014-01-10T02:25:40.78282	  0.043727
2014-01-18T20:57:17.16581	  0.042307
2014-01-27T14:54:11.21167	  0.045142
2014-02-05T08:44:00.36308	  0.044322
2014-02-14T02:16:02.93855	  0.048950
2014-02-22T20:59:41.65474	  0.046142
2014-03-03T14:50:20.83659	  0.048325
2014-03-12T08:44:26.20583	  0.046634
2014-03-21T02:24:50.27792	  0.046211
2014-03-29T21:11:35.47236	  0.048094
2014-04-07T14:40:54.77453	  0.046227
2014-04-16T08:46:43.18422	  0.049337
2014-04-25T02:15:51.63045	  0.045349
2014-05-03T21:12:38.68936	  0.046071
2014-05-12T14:49:36.61320	  0.045101
2014-05-21T08:56:13.17863	  0.044224
2014-05-30T02:14:53.95525	  0.046512
2014-06-07T20:53:33.39806	  0.046033
2014-06-16T14:25:59.55808	  0.048144
2014-06-25T09:06:05.09382	  0.048206
2014-07-04T02:22:17.91457	  0.048778
2014-07-12T21:02:45.89727	  0.048529
2014-07-21T14:37:44.71867	  0.046735
2014-07-30T08:36:57.87059	  0.045888
2014-08-08T02:23:40.68991	  0.049390
2014-08-16T20:49:10.13632	  0.047156
2014-08-25T14:40:49.95060	  0.048620
2014-09-03T08:38:14.48940	  0.047519
2014-09-12T02:43:56.44559	  0.049500
2014-09-20T20:59:05.31089	  0.044714
2014-09-29T11:50:12.56978	  0.049821
2014-10-08T16:30:11.62291	  0.048523
2014-10-17T02:24:13.22872	  0.049526
2014-10-25T21:03:59.07422	  0.047699
2014-11-03T14:52:36.36935	  0.047069
2014-11-12T08:53:57.14441	  0.046530
2014-11-21T02:27:25.07396	  0.045660
2014-11-29T20:56:27.52430	  0.044832
2014-12-08T14:24:52.47308	  0.051798
2014-12-17T08:57:10.33523	  0.053816
2014-12-26T02:33:30.29932	  0.050329
2015-01-03T20:58:16.57286	  0.048094
2015-01-12T14:44:07.53055	  0.050164
2015-01-21T08:59:07.72392	  0.052408
2015-01-30T02:20:30.91230	  0.053303
2015-02-07T21:02:19.25407	  0.055743
2015-02-16T14:50:11.72139	  0.053934
2015-02-25T08:48:41.54637	  0.054295
2015-03-06T02:29:25.00413	  0.052956
2015-03-14T20:59:18.01190	  0.051152
2015-03-23T14:48:18.59893	  0.054427
2015-04-01T08:49:46.27428	  0.051820
2015-04-10T02:02:44.14198	  0.053670
2015-04-18T21:07:04.60359	  0.052104
2015-04-27T14:18:53.92465	  0.052644
2015-05-06T08:49:25.16897	  0.053594
2015-05-15T02:26:58.70077	  0.052250
2015-05-23T20:31:40.55051	  0.051792
2015-06-01T14:44:55.91612	  0.053593
2015-06-10T08:50:13.70709	  0.051716
