# Time                    	SLA (m)
2016-02-14T17:42:08.85579	  0.060098
2016-02-22T09:29:37.30145	  0.060808
2016-03-03T07:56:25.99914	  0.060667
2016-03-12T09:48:41.97223	  0.058363
2016-03-23T03:42:08.88220	  0.062165
2016-04-02T01:49:32.07572	  0.059822
2016-04-11T23:50:42.49537	  0.059058
2016-04-21T21:23:54.85525	  0.057713
2016-05-01T19:54:45.02618	  0.056407
2016-05-11T17:53:21.39307	  0.056742
2016-05-21T15:27:18.30644	  0.056895
2016-05-31T13:21:28.55820	  0.059331
2016-06-10T11:36:44.91897	  0.058896
2016-06-20T10:03:04.92674	  0.060830
2016-06-30T07:34:15.70999	  0.058874
2016-07-10T05:18:28.52797	  0.058277
2016-07-20T03:48:18.59064	  0.058101
2016-07-30T01:36:07.76220	  0.055229
2016-08-08T23:30:12.63292	  0.054363
2016-08-18T21:16:27.57701	  0.052531
2016-08-28T19:23:43.74509	  0.056677
2016-09-07T17:20:06.54138	  0.057567
2016-09-17T15:22:19.48328	  0.058270
2016-09-27T13:24:45.99015	  0.056060
2016-10-07T11:32:41.06507	  0.054504
2016-10-17T09:25:59.25335	  0.056855
2016-10-27T07:37:27.28125	  0.057346
2016-11-06T05:34:13.04934	  0.058789
2016-11-16T03:35:40.32494	  0.060670
2016-11-26T01:10:12.45567	  0.062650
2016-12-05T12:03:47.46904	  0.060341
2016-12-15T21:19:52.84363	  0.058183
2016-12-25T19:15:57.93641	  0.057493
2017-01-04T17:25:27.26024	  0.056538
2017-01-14T14:56:48.68115	  0.059453
2017-01-24T13:06:56.41156	  0.058199
2017-02-03T11:04:26.38354	  0.055448
2017-02-13T08:59:46.38678	  0.056101
2017-02-23T06:53:59.56557	  0.056277
2017-03-05T04:59:41.10264	  0.057617
2017-03-15T02:59:56.77493	  0.058473
2017-03-25T00:44:34.02424	  0.059605
2017-04-03T23:07:50.22114	  0.060072
2017-04-13T20:44:37.73448	  0.058026
2017-04-23T18:29:00.36957	  0.057702
2017-05-03T16:47:24.40358	  0.057320
2017-05-13T14:32:02.89437	  0.056475
2017-05-23T12:26:29.11833	  0.054646
2017-06-02T10:44:47.14668	  0.056890
2017-06-12T09:01:40.63325	  0.056655
2017-06-22T06:29:19.83628	  0.056977
2017-07-02T04:47:11.54166	  0.058702
2017-07-12T02:31:09.98979	  0.058078
2017-07-22T00:42:49.98353	  0.058270
2017-07-31T22:35:12.39781	  0.060565
2017-08-10T20:37:35.67179	  0.058369
2017-08-20T18:37:14.73875	  0.057713
2017-08-30T16:21:19.45279	  0.059447
2017-09-09T14:38:04.11863	  0.061333
2017-09-19T12:54:05.78294	  0.061644
2017-09-29T10:26:14.81662	  0.058957
2017-10-09T08:33:26.29993	  0.058331
2017-10-19T06:23:44.96135	  0.059420
2017-10-29T04:46:18.19590	  0.061753
2017-11-08T02:31:28.97634	  0.063236
2017-11-18T00:41:43.75977	  0.063053
2017-11-27T22:31:15.95988	  0.063762
2017-12-07T20:23:49.11387	  0.063407
2017-12-17T18:42:33.48700	  0.063519
2017-12-27T16:27:03.98471	  0.060722
2018-01-06T14:17:16.31362	  0.061048
2018-01-16T12:10:20.37727	  0.062039
2018-01-26T10:11:51.77490	  0.062654
2018-02-05T08:12:08.44701	  0.062770
2018-02-15T05:53:23.55266	  0.059892
2018-02-25T03:55:21.40546	  0.058543
2018-03-07T02:17:41.00665	  0.063064
2018-03-16T23:54:05.40474	  0.062613
2018-03-26T21:57:34.60147	  0.060846
2018-04-05T19:43:16.66356	  0.058125
2018-04-15T18:18:28.43434	  0.059296
2018-04-25T15:46:15.74798	  0.059895
2018-05-05T13:43:47.01565	  0.061336
2018-05-15T11:41:35.84575	  0.061713
2018-05-25T10:00:21.49285	  0.059999
2018-06-04T07:48:05.01049	  0.059850
2018-06-14T05:31:03.07264	  0.060511
2018-06-24T03:48:03.72088	  0.059923
2018-07-04T01:43:17.12176	  0.060026
2018-07-13T23:12:49.84017	  0.061974
2018-07-23T21:42:02.29521	  0.062234
2018-08-02T19:30:25.93485	  0.059996
2018-08-12T17:57:12.16500	  0.061371
2018-08-22T15:39:16.55655	  0.061393
2018-09-01T13:28:00.43136	  0.062014
2018-09-11T11:45:42.17200	  0.064499
2018-09-21T09:37:08.23906	  0.063124
2018-10-01T07:31:01.66089	  0.065258
2018-10-11T05:41:31.84406	  0.063165
2018-10-21T03:58:12.16387	  0.064692
2018-10-31T01:31:01.11764	  0.066866
2018-11-09T23:44:14.18498	  0.064789
2018-11-19T21:33:36.69673	  0.063240
2018-11-29T19:15:31.53952	  0.062276
2018-12-09T17:33:43.60804	  0.062838
2018-12-19T16:04:54.79841	  0.063055
2018-12-29T13:43:49.83657	  0.064149
2019-01-08T11:24:46.19767	  0.062956
2019-01-18T09:12:57.01804	  0.067920
2019-01-28T07:17:03.93162	  0.065003
2019-02-07T05:18:58.84200	  0.067987
2019-02-17T02:54:52.58582	  0.067078
2019-02-23T00:31:33.23965	NaN
2019-03-10T03:41:56.59679	  0.066769
2019-03-18T20:55:38.59591	  0.068952
2019-03-28T19:22:09.92066	  0.066889
2019-04-05T10:06:45.01249	  0.065744
2019-04-17T15:10:54.54273	  0.065870
2019-04-27T13:09:10.99923	  0.067992
2019-05-07T11:18:25.24320	  0.071157
2019-05-17T09:20:16.75154	  0.067854
2019-05-27T07:17:53.84962	  0.065454
2019-06-06T04:36:49.71026	  0.064810
2019-06-16T02:48:32.53734	  0.069268
2019-06-26T00:30:11.20858	  0.069265
2019-07-05T22:57:35.94339	  0.069746
2019-07-15T21:05:15.77644	  0.068464
2019-07-25T18:46:44.56203	  0.067292
2019-08-04T17:03:32.45689	  0.067822
2019-08-14T14:23:31.00169	  0.071070
2019-08-24T12:32:40.35099	  0.072471
2019-09-03T10:52:18.94414	  0.070180
2019-09-13T08:24:29.20119	  0.069869
2019-09-23T06:39:10.06572	  0.069305
2019-10-03T04:30:13.33782	  0.067364
2019-10-13T02:44:59.80300	  0.069504
2019-10-23T00:38:04.97742	  0.069770
2019-11-01T22:46:43.40796	  0.067886
2019-11-11T20:46:28.66626	  0.070649
2019-11-21T18:59:16.34725	  0.069034
2019-12-01T16:32:31.65528	  0.068594
2019-12-11T14:35:39.04764	  0.069770
2019-12-21T12:52:24.79371	  0.068487
2019-12-31T10:39:43.79359	  0.069773
2020-01-10T08:27:40.72734	  0.066360
2020-01-20T06:14:47.31885	  0.066196
2020-01-28T04:54:46.96003	  0.068393
2020-02-10T16:49:11.75137	NaN
2020-02-19T00:26:09.41195	  0.071360
2020-02-28T22:12:09.45710	  0.068663
2020-03-09T20:27:04.40353	  0.069954
2020-03-19T18:17:38.54973	  0.067091
2020-03-29T16:19:57.58407	  0.068633
2020-04-08T13:53:55.07862	  0.072337
2020-04-18T12:11:53.63357	  0.069448
2020-04-28T10:17:10.24751	  0.069193
2020-05-08T08:27:33.47053	  0.070781
2020-05-18T05:32:21.84557	  0.071196
2020-05-28T03:51:59.33473	  0.071310
2020-06-07T02:04:46.04159	  0.072471
2020-06-16T16:36:07.10061	  0.069612
2020-06-26T21:51:48.11826	  0.071104
2020-07-06T20:06:34.63556	  0.070561
2020-07-16T17:54:41.28178	  0.071649
2020-07-26T15:49:44.07154	  0.072445
2020-08-05T13:35:07.93745	  0.072344
2020-08-15T11:44:36.92307	  0.069264
2020-08-25T10:03:30.74115	  0.069944
2020-09-04T07:49:03.62235	  0.070947
2020-09-14T06:25:49.34551	  0.071035
2020-09-24T03:55:39.15306	  0.071589
2020-10-04T01:48:59.60210	  0.072574
2020-10-13T23:52:21.97167	  0.074449
2020-10-23T05:45:36.12067	  0.073661
2020-11-03T03:20:54.08602	  0.074718
2020-11-12T17:32:24.01813	  0.072513
2020-11-22T15:54:56.23989	  0.069832
2020-12-02T13:22:39.17679	  0.072815
2020-12-12T11:44:46.56711	  0.072003
2020-12-22T09:46:29.44593	  0.072420
2021-01-01T07:49:11.10217	  0.073494
2021-01-11T05:29:28.91232	  0.075660
2021-01-21T03:37:24.07710	  0.076468
2021-01-31T01:29:13.75947	  0.077985
2021-02-09T22:58:52.65399	  0.074204
2021-02-19T21:14:16.20455	  0.071937
2021-03-01T19:23:57.73657	  0.070118
2021-03-11T17:06:00.32164	  0.071897
2021-03-21T15:18:10.27578	  0.073430
2021-03-31T13:27:52.88353	  0.076479
2021-04-10T11:11:35.27390	  0.077698
2021-04-20T05:32:14.57031	  0.076731
2021-04-30T06:54:34.57104	  0.073698
2021-05-10T04:56:10.53147	  0.074508
2021-05-20T03:17:14.42597	  0.075243
2021-05-30T01:00:22.72364	  0.074667
2021-06-08T22:47:01.65206	  0.072130
2021-06-18T21:21:18.80558	  0.075475
2021-06-28T19:10:06.01888	  0.075340
2021-07-08T16:57:50.39498	  0.076571
2021-07-18T14:44:54.43855	  0.075830
2021-07-28T13:12:54.88981	  0.078092
2021-08-07T10:25:47.90832	  0.078260
2021-08-17T08:59:27.06997	  0.077753
2021-08-27T07:02:17.24436	  0.073217
2021-09-06T05:12:23.30477	  0.075912
2021-09-16T03:03:15.13569	  0.078008
2021-09-26T01:02:18.47434	  0.077377
2021-10-05T23:01:04.65591	  0.077790
2021-10-15T20:51:30.96742	  0.077101
2021-10-25T18:39:08.60806	  0.078747
2021-11-04T16:56:05.30203	  0.076945
2021-11-14T15:01:56.61109	  0.075185
2021-11-24T12:58:09.37714	  0.078134
2021-12-04T11:02:13.21634	  0.080141
2021-12-14T08:52:47.56550	  0.076537
2021-12-24T07:01:52.19639	  0.075152
2022-01-03T04:33:17.08058	  0.078312
2022-01-13T02:50:58.33631	  0.080256
2022-01-23T01:24:11.49125	  0.081235
2022-02-01T22:28:08.05112	  0.078218
2022-02-11T20:43:31.83967	  0.079105
2022-02-21T18:17:31.17179	  0.075511
2022-03-03T16:29:38.55609	  0.074771
2022-03-13T14:34:27.90619	  0.077938
2022-03-23T12:37:58.01255	  0.077269
2022-04-02T10:18:57.93210	  0.078727
2022-04-07T11:12:51.36074	NaN
2022-04-27T05:26:03.62618	  0.073692
2022-05-04T03:34:58.13999	  0.077722
2022-05-14T01:21:14.61847	  0.076380
2022-05-23T23:24:33.28371	  0.077752
2022-06-02T21:23:42.62251	  0.076598
2022-06-12T19:19:53.00316	  0.077261
2022-06-22T17:22:54.47841	  0.077383
2022-07-02T15:16:17.05461	  0.080105
2022-07-12T13:40:48.32369	  0.081378
2022-07-22T11:05:24.73647	  0.080667
2022-08-01T09:16:38.81575	  0.078257
2022-08-11T06:59:58.61524	  0.075758
2022-08-21T05:16:28.33194	  0.076999
2022-08-31T03:14:26.70852	  0.079030
2022-09-10T01:04:10.46331	  0.081517
2022-09-19T23:36:25.32934	  0.080030
2022-09-29T21:32:56.06399	  0.081544
2022-10-09T19:04:42.59280	  0.080723
2022-10-19T17:28:41.38569	  0.079516
2022-10-29T15:14:32.15705	  0.079254
2022-11-08T13:22:06.99425	  0.081242
2022-11-18T11:14:41.44931	  0.077363
2022-11-28T09:25:18.20791	  0.079376
2022-12-08T02:42:57.18646	  0.075208
2022-12-18T05:14:52.32854	  0.082935
2022-12-28T03:40:36.88394	  0.084639
2023-01-07T00:46:41.64525	  0.082461
2023-01-16T23:21:37.82041	  0.084150
2023-01-26T21:37:05.02354	  0.084461
2023-02-05T18:53:04.62948	  0.082372
2023-02-15T16:37:17.65289	  0.082490
2023-02-25T14:45:13.55356	  0.082538
2023-03-07T12:37:13.53948	  0.084858
2023-03-17T10:50:51.37396	  0.084805
2023-03-27T08:39:40.16803	  0.080839
2023-04-06T07:21:53.85540	  0.077918
