# Time                    	SLA (m)
2016-05-10T09:30:44.265563	NaN
2016-05-19T09:30:57.709065	NaN
2016-05-28T08:55:30.376857	NaN
2016-06-06T09:48:14.353253	NaN
2016-06-15T09:26:04.400007	NaN
2016-06-24T11:25:47.695607	NaN
2016-07-03T10:10:47.238421	  0.058293
2016-07-12T09:00:24.431622	  0.057846
2016-07-21T10:26:13.617754	  0.057846
2016-07-30T10:01:27.607778	  0.054584
2016-08-08T09:29:01.288500	  0.057464
2016-08-17T09:36:49.559085	  0.053503
2016-08-26T09:32:37.132899	  0.054637
2016-09-04T09:45:22.804665	  0.059409
2016-09-13T09:56:27.005665	  0.056172
2016-09-22T11:13:01.128903	  0.055778
2016-10-01T09:33:21.294097	  0.054092
2016-10-10T09:52:26.243230	  0.053746
2016-10-19T09:55:53.614486	  0.057381
2016-10-28T09:29:57.075892	  0.059718
2016-11-06T09:30:07.697671	  0.058462
2016-11-15T10:22:43.372874	  0.059803
2016-11-24T09:25:11.440404	  0.061310
2016-12-03T09:56:12.550292	  0.059849
2016-12-12T10:03:04.070247	  0.059666
2016-12-21T09:36:51.557149	  0.059106
2016-12-30T09:47:33.888978	  0.058220
2017-01-08T10:00:48.810298	  0.059254
2017-01-17T09:33:47.618688	  0.060265
2017-01-26T10:11:08.262694	  0.058430
2017-02-04T10:13:46.971583	  0.056031
2017-02-13T08:54:54.092138	  0.056170
2017-02-22T09:38:27.850783	  0.057563
2017-03-03T10:08:30.575765	  0.058240
2017-03-12T08:48:36.300107	  0.057242
2017-03-21T10:09:22.579159	  0.059907
2017-03-30T09:42:38.964812	  0.059086
2017-04-08T09:22:16.644714	  0.058317
2017-04-17T09:29:41.449562	  0.059135
2017-04-26T10:04:18.424669	  0.057962
2017-05-05T09:23:52.576033	  0.059006
2017-05-14T09:51:46.570890	  0.057662
2017-05-23T09:44:37.364349	  0.054711
2017-06-01T09:59:36.893743	  0.057121
2017-06-10T09:29:24.809860	  0.057552
2017-06-19T09:47:27.122582	  0.058460
2017-06-28T09:14:37.638661	  0.059800
2017-07-07T09:58:34.805257	  0.060132
2017-07-16T09:50:52.827390	  0.057724
