# Time                    	SLA (m)
2018-06-08T18:23:45.464486	NaN
2018-06-12T05:51:09.097476	NaN
2018-06-28T19:59:56.000000	NaN
2018-07-13T18:04:40.193962	  0.064728
2018-07-20T10:16:13.726405	  0.062159
2018-07-29T10:48:28.718042	  0.059523
2018-08-07T09:11:24.979028	  0.060130
2018-08-16T09:39:50.961669	  0.060890
2018-08-25T09:48:35.494627	  0.059038
2018-09-03T08:03:06.997322	  0.059123
2018-09-12T10:03:58.481614	  0.061378
2018-09-21T09:38:09.806205	  0.061778
2018-09-30T09:02:18.570699	  0.064468
2018-10-09T09:44:57.955095	  0.062494
2018-10-15T03:43:33.014575	NaN
2018-11-26T03:37:42.891881	  0.062277
2018-12-03T09:41:28.146356	  0.065795
2018-12-12T10:13:27.575429	  0.064311
2018-12-21T10:29:40.062805	  0.063854
2018-12-30T10:01:23.472665	  0.064968
2019-01-08T11:10:35.846061	  0.064809
2019-01-17T10:06:15.940594	  0.068327
2019-01-26T01:21:34.869238	  0.068187
2019-02-04T10:10:40.039684	  0.070109
2019-02-13T09:27:42.968208	  0.068456
2019-02-22T09:03:10.083296	  0.064458
2019-03-03T10:12:08.657009	  0.065540
2019-03-12T10:46:00.920457	  0.069542
2019-03-21T09:31:07.777178	  0.070211
2019-03-30T10:05:02.195074	  0.070687
2019-04-08T09:31:02.439372	  0.069615
2019-04-17T09:44:00.417377	  0.066227
2019-04-26T10:18:35.993858	  0.068348
2019-05-05T09:25:32.558605	  0.067885
2019-05-14T09:27:27.086210	  0.068036
2019-05-23T10:00:42.305874	  0.067481
2019-06-01T09:25:23.043277	  0.065687
2019-06-10T09:55:40.481153	  0.067419
2019-06-19T09:47:57.310546	  0.068630
2019-06-28T09:30:33.900549	  0.067974
2019-07-07T09:21:38.163190	  0.070813
2019-07-16T09:58:36.142730	  0.069713
2019-07-25T09:44:22.104928	  0.067656
2019-08-03T09:43:45.230483	  0.070135
2019-08-12T10:06:10.317236	  0.068660
2019-08-21T09:56:43.634093	  0.070756
2019-08-30T09:50:46.154741	  0.069563
2019-09-08T10:28:14.193184	  0.069824
2019-09-17T09:40:32.034604	  0.070501
2019-09-26T09:13:29.496703	  0.071042
2019-10-05T10:18:57.137707	  0.068796
2019-10-14T09:55:08.632176	  0.070613
2019-10-23T09:27:59.133774	  0.070220
2019-11-01T10:33:03.753183	  0.066932
2019-11-10T09:30:02.212787	  0.072448
2019-11-19T09:56:01.394574	  0.069154
2019-11-28T10:12:28.198641	  0.070615
2019-12-07T09:46:58.411990	  0.071886
2019-12-16T10:13:05.922991	  0.069919
2019-12-25T10:08:49.128654	  0.070057
2020-01-03T09:49:13.015347	  0.072245
2020-01-12T10:00:48.796420	  0.068939
2020-01-21T09:54:56.418143	  0.068501
2020-01-30T09:46:48.156643	  0.071006
2020-02-08T09:33:04.314042	  0.071648
2020-02-17T10:23:14.984635	  0.070931
2020-02-26T08:43:43.649666	  0.069280
2020-03-06T09:15:02.552697	  0.069825
2020-03-15T10:01:45.168088	  0.069906
2020-03-24T09:48:38.861861	  0.070572
2020-04-02T09:52:16.838843	  0.072165
2020-04-11T08:51:29.678597	  0.070126
2020-04-20T09:51:24.947071	  0.070280
2020-04-29T09:43:22.545506	  0.070049
2020-05-08T10:25:38.120980	  0.070936
2020-05-17T09:15:19.123586	  0.071227
2020-05-26T09:22:53.462146	  0.072102
2020-06-04T10:11:08.493037	  0.073126
2020-06-13T09:18:14.373475	  0.071153
2020-06-22T09:57:15.131991	  0.071842
2020-07-01T09:41:03.778056	  0.071447
2020-07-10T09:38:51.428536	  0.071731
2020-07-19T09:35:28.878528	  0.073868
2020-07-28T10:27:26.589813	  0.072241
2020-08-06T09:43:34.847252	  0.070455
2020-08-15T09:44:47.097672	  0.068323
2020-08-24T10:27:25.672367	  0.069674
2020-09-02T09:31:04.784707	  0.070859
2020-09-11T09:28:38.245700	  0.071620
2020-09-20T09:54:42.353926	  0.070014
2020-09-29T10:00:04.453962	  0.069496
2020-10-08T09:44:35.386099	  0.071816
2020-10-17T10:08:46.349005	  0.072708
2020-10-26T09:32:10.994595	  0.072300
2020-11-04T09:04:48.981813	  0.074297
2020-11-13T10:29:31.595939	  0.073197
2020-11-22T09:47:41.532855	  0.069170
2020-12-01T09:21:35.975848	  0.072381
2020-12-10T10:28:00.694228	  0.074189
2020-12-19T10:12:24.659748	  0.073529
2020-12-28T09:39:30.465590	  0.074251
2021-01-06T11:02:30.375127	  0.077710
2021-01-15T09:34:58.454750	  0.075749
2021-01-24T09:59:44.637198	  0.077048
2021-02-02T10:24:00.406725	  0.075185
2021-02-11T09:08:54.451105	  0.074359
2021-02-20T12:46:55.526995	  0.072381
2021-03-01T09:53:23.883589	  0.072883
2021-03-10T09:36:38.721282	  0.074897
2021-03-19T09:54:24.476113	  0.074867
