# Time                    	SLA (m)
2020-12-22T14:57:28.84706	  0.073113
2021-01-01T07:55:40.58436	  0.073970
2021-01-11T04:45:14.41611	  0.074834
2021-01-21T03:38:05.13859	  0.074243
2021-01-31T01:32:49.97216	  0.076561
2021-02-09T22:48:36.57076	  0.075280
2021-02-19T21:12:10.04307	  0.071613
2021-03-01T14:18:20.80280	  0.070100
2021-03-11T16:31:06.09883	  0.069774
2021-03-22T01:49:48.43406	  0.070989
2021-03-31T13:52:41.22493	  0.074754
2021-04-10T11:08:31.69023	  0.077974
2021-04-20T09:27:24.49611	  0.074805
2021-04-30T16:12:24.12481	  0.072375
2021-05-10T05:07:20.17835	  0.074283
2021-05-20T03:37:06.79414	  0.076119
2021-05-30T00:49:53.31544	  0.076343
2021-06-08T22:34:35.25397	  0.074606
2021-06-18T22:12:46.38897	  0.077152
2021-06-28T18:27:37.33898	  0.076815
2021-07-08T16:16:02.48062	  0.077647
2021-07-18T14:45:26.10612	  0.076005
2021-07-28T13:06:42.49505	  0.079468
2021-08-07T10:52:18.16952	  0.081835
2021-08-17T08:57:34.64596	  0.079229
2021-08-27T06:48:36.46145	  0.073894
2021-09-06T06:11:51.95082	  0.075784
2021-09-16T04:35:04.70545	  0.077978
2021-09-26T01:08:48.37968	  0.077753
2021-10-05T22:39:38.80887	  0.079766
2021-10-15T20:44:05.58238	  0.077776
2021-10-25T19:25:31.85303	  0.078123
2021-11-04T16:49:55.83858	  0.074721
2021-11-14T15:03:01.20757	  0.073261
2021-11-24T13:05:26.22547	  0.077611
2021-12-04T11:10:44.12720	  0.081017
2021-12-14T08:58:34.14258	  0.077313
2021-12-24T06:51:05.81949	  0.073828
2022-01-03T04:26:29.56396	  0.075987
2022-01-13T02:59:34.21940	  0.077632
2022-01-23T00:46:33.02172	  0.081809
2022-02-01T22:43:54.06755	  0.079994
2022-02-11T21:52:39.49590	  0.079981
2022-02-21T18:19:14.14786	  0.076887
2022-03-03T16:22:35.90515	  0.074947
2022-03-13T14:27:12.59643	  0.078313
2022-03-23T12:28:21.61936	  0.079245
2022-04-02T10:25:50.43205	  0.081102
2022-04-12T08:13:35.01144	  0.078537
2022-04-22T05:58:45.16678	  0.075090
2022-05-02T04:35:00.10271	  0.077482
2022-05-12T01:39:47.34324	  0.075614
2022-05-22T00:08:50.67031	  0.077467
2022-05-31T21:51:40.50636	  0.076801
2022-06-10T20:24:13.89704	  0.078466
2022-06-20T18:04:06.39723	  0.076201
2022-06-30T16:10:59.11925	  0.079347
2022-07-10T14:21:42.19322	  0.081253
2022-07-20T12:09:09.95327	  0.082980
2022-07-30T10:00:17.41209	  0.080310
2022-08-09T07:34:19.10055	  0.075248
2022-08-19T06:44:54.04166	  0.076214
2022-08-29T04:10:29.64609	  0.077364
2022-09-08T01:35:00.57425	  0.080956
2022-09-18T00:16:15.56707	  0.081456
2022-09-27T22:06:58.88478	  0.081645
2022-10-07T20:02:33.59677	  0.079987
2022-10-17T17:57:41.71038	  0.078534
2022-10-27T15:48:10.43909	  0.078022
2022-11-06T14:06:04.22448	  0.081461
2022-11-16T12:15:21.08233	  0.078639
2022-11-26T09:53:05.16001	  0.079517
2022-12-06T07:58:20.53369	  0.076843
2022-12-16T06:20:00.09736	  0.081849
2022-12-26T04:13:17.37201	  0.083359
2023-01-05T01:28:15.52320	  0.082902
2023-01-15T00:16:47.08642	  0.085023
2023-01-24T21:49:19.06105	  0.084370
2023-02-03T19:30:53.13276	  0.081122
2023-02-13T17:47:09.87031	  0.080077
2023-02-23T15:30:13.73550	  0.080456
2023-03-05T13:34:50.98637	  0.083997
2023-03-15T11:14:44.05933	  0.085654
2023-03-25T10:00:25.68649	  0.081885
2023-04-04T07:31:46.74277	  0.078152
2023-04-14T05:19:04.82774	  0.075904
2023-04-24T03:18:16.06822	  0.079879
2023-05-04T01:25:32.93892	  0.081794
2023-05-13T23:22:26.62191	  0.085348
2023-05-23T21:23:22.69584	  0.083618
2023-06-02T18:54:38.49278	  0.083160
2023-06-12T17:35:28.85754	  0.082725
2023-06-22T15:45:31.85389	  0.082850
2023-07-02T13:15:59.38571	  0.086276
2023-07-12T11:01:15.61494	  0.088454
2023-07-22T09:17:03.69050	  0.085649
2023-08-01T07:05:32.59141	  0.085647
2023-08-11T05:20:43.82163	  0.086753
2023-08-21T02:41:16.14784	  0.084301
2023-08-31T01:43:18.82610	  0.088831
2023-09-09T22:53:34.32612	  0.086221
2023-09-19T21:49:20.77184	  0.087230
2023-09-29T19:08:10.44393	  0.087241
2023-10-09T16:57:38.01578	  0.088814
2023-10-19T15:08:40.14159	  0.091799
2023-10-29T13:23:29.65326	  0.087228
2023-11-08T11:00:12.93540	  0.088607
2023-11-18T09:01:10.61975	  0.086720
2023-11-28T07:13:41.81560	  0.082228
2023-12-08T05:44:43.48258	  0.084574
2023-12-18T02:37:49.38118	  0.086881
2023-12-28T00:34:39.45610	  0.089085
2024-01-06T23:15:42.45427	  0.090616
2024-01-16T20:54:16.57783	  0.089908
2024-01-26T18:16:59.96156	  0.089924
2024-02-05T17:05:45.19805	  0.086444
2024-02-15T14:27:31.87673	  0.092169
2024-02-25T12:22:32.48045	  0.094322
2024-03-06T10:26:25.60280	  0.093245
2024-03-16T08:46:21.73528	  0.093493
2024-03-26T06:37:58.38615	  0.091627
2024-04-05T04:34:15.32259	  0.088704
2024-04-15T02:39:28.46304	  0.089474
2024-04-25T00:39:19.02914	  0.089871
2024-05-04T22:23:26.28866	  0.090810
2024-05-14T20:26:57.87753	  0.091286
2024-05-24T18:22:35.62991	  0.090470
2024-06-03T16:25:17.37056	  0.090521
2024-06-13T14:42:15.61986	  0.091683
2024-06-23T12:19:17.81246	  0.089695
2024-07-03T09:48:04.06388	  0.090599
2024-07-13T08:40:23.36572	  0.089850
2024-07-23T06:12:58.70028	  0.086713
2024-08-02T04:14:35.62931	  0.084678
2024-08-12T01:46:05.18850	  0.085357
2024-08-22T00:02:30.60628	  0.089180
2024-08-31T22:23:46.17294	  0.088801
2024-09-06T07:23:54.55947	NaN
