# Time                    	SLA (m)
2023-01-20T17:16:29.18954	NaN
2023-01-30T07:44:24.84478	NaN
2023-02-08T18:45:06.06683	NaN
2023-02-19T14:27:59.29293	NaN
2023-03-01T02:16:30.06299	NaN
2023-03-11T00:10:04.05605	NaN
2023-03-20T23:09:23.08870	NaN
2023-03-30T16:42:00.18624	NaN
2023-04-09T19:23:03.77485	NaN
2023-04-19T19:49:53.41555	NaN
2023-04-29T16:51:34.42680	NaN
2023-05-09T15:19:42.83365	NaN
2023-05-18T23:31:33.65794	NaN
2023-05-29T12:18:54.36119	NaN
2023-06-08T11:12:15.60640	NaN
2023-06-18T09:43:31.70220	NaN
2023-06-28T07:31:55.90264	NaN
2023-07-06T20:29:48.02264	NaN
2023-07-31T02:34:18.59655	NaN
2023-08-21T12:16:39.70564	  0.083412
2023-09-11T08:54:03.37767	  0.083745
2023-10-05T00:57:06.97670	  0.091679
2023-10-23T05:17:52.83345	  0.091884
2023-11-13T00:03:18.93386	  0.086210
2023-12-03T21:29:27.95282	  0.086275
2023-12-24T17:29:10.23506	  0.090863
2024-01-14T14:26:54.38275	  0.090827
2024-02-04T11:47:22.76596	  0.087568
2024-02-25T07:58:38.45983	  0.092366
2024-03-17T06:25:52.00833	  0.094100
2024-04-07T01:15:16.77068	  0.088693
2024-04-27T21:29:33.98319	  0.087508
2024-05-18T19:51:17.09283	  0.091029
2024-06-08T18:41:19.05967	  0.091349
2024-06-29T13:12:55.47508	  0.084676
2024-07-20T09:39:58.67493	  0.087113
2024-08-10T03:17:02.30513	  0.085613
2024-08-29T05:21:25.52747	  0.084160
